Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
CoCrCuFeNiTiVZr,680,,CAST,https://www.nature.com/articles/s41597-020-00768-319,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al14.6Co21.5Fe22.6Ni20.4Ti20.9,681,,POWDER,Beniwal: Test,
AlCoCuFeNiSi,682,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-266,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co12.9Fe10.8Ni10.8Cu40.1Al16.2Si9.2,682,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
MoNbSi0.75TaW,682.6,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-76,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeMnNi,684,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-203,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.25Co0.5Cr0.5Cu0.5Fe0.5Ni0.5Ti,696,FCC+BCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-278,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi2,696,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5CoCrCuFeNiTi2.0,696,,CAST,https://doi.org/10.1016/j.jmst.2021.01.335,Machine learning of phases and mechanical properties in complexconcentrated alloys
MoNbSi0.5TaW,697,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-77,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.853Co0.647CrFe0.147Ni0.294,699,,,https://www.nature.com/articles/s41597-020-00768-22,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.5CrFe0.147Ni0.294,699,,,https://www.nature.com/articles/s41597-020-00768-46,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
FeMoNbTiV,699,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-173,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeNiTi,703,BCC+B2+Laves,CAST,https://www.nature.com/articles/s41597-020-00768-181,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrTi,704,,CAST,https://doi.org/10.1016/j.jmst.2021.01.336,Machine learning of phases and mechanical properties in complexconcentrated alloys
Cr20Mo20.2Nb20.4Ta20.6V13W20,704,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
CrMoNbTaVW,704.6,,CAST,https://www.nature.com/articles/s41597-020-00768-197,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeMnW0.,705,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-72,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeMo0.5Ni0.5,708,B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-326,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeNiTi0.5,709.6,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-141,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeMo0.5NiTi0.25,712,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-115,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5Ti0.25,712,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CrTaTi0.17VW,715,BCC+Laves,POWDER,https://www.nature.com/articles/s41597-020-00768-90,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrTaVW,715,BCC+Laves,POWDER,https://www.nature.com/articles/s41597-020-00768-88,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.133CoCr0.667Fe0.667NiTi0.667,717,FCC+Sec.,ANNEAL,https://www.nature.com/articles/s41597-020-00768-386,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.2Co1.5CrFeNi1.5Ti,717,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CrFeNiTi0.6,718.2,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-140,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.947Co0.158MoNi0.289W0.237,725,,CAST,https://www.nature.com/articles/s41597-020-00768-165,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.298Cr0.319Cu0.106Fe0.277Ni0.128,728,,,https://www.nature.com/articles/s41597-020-00768-45,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeMo0.5NiTi0.4,731.9,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-114,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5Ti0.4,731.9,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5CoFeNiTi0.5,733,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-3,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5BCoCrCuFeNi,736,,CAST,https://www.nature.com/articles/s41597-020-00768-288,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
FeMoNiTiVZr,740,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-314,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667CoCr0.667Fe0.667Mo0.333Ni0.667,741,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-333,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo1.5CrFeMo0.5Ni,741,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Cr0.286Mo0.476NbTa0.024Ti0.3V0.286,741,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-85,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeNb0.5Ni,747,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-336,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.149Cr0.34Cu0.19Fe0.34Ni0.106,749,,,https://www.nature.com/articles/s41597-020-00768-21,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Ti0.25AlMoSi0.25W0.1,750,,POWDER,Beniwal: Test,
AlCrFeMo0.5NiTi0.5,751.7,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-113,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5Ti0.5,751.7,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCrFe0.6Mo0.5Ni,754,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-330,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr2MoNbTaVW,754.9,,CAST,https://doi.org/10.1016/j.jmst.2021.01.338,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCrFe0.5Mo0.5Ni,755,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCrFeMo0.5NiTi0.6,756.1,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-112,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5Ti0.6,756.1,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Ti0.3AlMoSi0.3W0.1,765,,POWDER,Beniwal: Test,
AlCrFeMo0.5NiTi0.75,766.2,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-111,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5Ti0.75,766.2,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Mo30Nb10V20Ta20W20,770,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
AlCoCrFeNiTiVZr,780,,CAST,https://www.nature.com/articles/s41597-020-00768-322,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeMnW0.5,780,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-71,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrTaTi0.3VW,780,BCC+Laves,POWDER,https://www.nature.com/articles/s41597-020-00768-89,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.674Cr0.419Fe0.116Ni0.116,782,,,https://www.nature.com/articles/s41597-020-00768-7,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.238Cr0.714Cu0.119Fe0.167Ni0.143,783,,,https://www.nature.com/articles/s41597-020-00768-25,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.278Cr0.86Cu0.167Fe0.25Ni0.222,790,,,https://www.nature.com/articles/s41597-020-00768-43,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.318Cr0.5Cu0.114Fe0.205Ni0.136,790,,,https://www.nature.com/articles/s41597-020-00768-33,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoFeNiTiVZr,790,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-321,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMoNiTiVZr,790,,CAST,https://www.nature.com/articles/s41597-020-00768-316,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeMoNbTi,792,BCC+Laves,CAST,https://www.nature.com/articles/s41597-020-00768-174,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.349Cr0.395Cu0.116Fe0.326Ni0.14,794,,,https://www.nature.com/articles/s41597-020-00768-26,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeMo0.5Ni,796,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-331,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.234Cr0.468Cu0.106Fe0.213Ni0.106,797,,,https://www.nature.com/articles/s41597-020-00768-24,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.277Cr0.277Cu0.106Fe0.255Ni0.213,799,,,https://www.nature.com/articles/s41597-020-00768-38,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCr1.5FeMo0.5Ni,800,,CAST,https://doi.org/10.1016/j.jmst.2021.01.339,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlFeNiTiVZr,800,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-320,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.5CrFeMo0.5Ni,801,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-334,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.256Cr0.795Cu0.128Fe0.205Ni0.179,802,,,https://www.nature.com/articles/s41597-020-00768-39,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
TiAlMoSiW,803,,POWDER,Beniwal: Test,
AlCo0.277Cr0.426Cu0.106Fe0.213Ni0.106,805,,,https://www.nature.com/articles/s41597-020-00768-23,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.395Cr0.349Fe0.326Ni0.256,806,,,https://www.nature.com/articles/s41597-020-00768-42,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.255Cr0.255Cu0.106Fe0.277Ni0.234,811,,,https://www.nature.com/articles/s41597-020-00768-41,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.304Cr0.5Cu0.109Fe0.152Ni0.109,811,,,https://www.nature.com/articles/s41597-020-00768-34,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Co0.043Nb0.638NiTa0.255Ti0.19,815,,CAST,https://www.nature.com/articles/s41597-020-00768-164,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.465Cr0.442Fe0.209Ni0.209,816,,,https://www.nature.com/articles/s41597-020-00768-35,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNb1.2Ni,817,,CAST,https://doi.org/10.1016/j.jmst.2021.01.340,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrFeMoNbV,826,BCC+Laves,CAST,https://www.nature.com/articles/s41597-020-00768-175,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.326Cr0.488Cu0.116Fe0.279Ni0.116,828,,,https://www.nature.com/articles/s41597-020-00768-20,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.465Cr0.488Fe0.209Ni0.163,828,,,https://www.nature.com/articles/s41597-020-00768-10,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrMoNbTi0.4,829.6,,CAST,https://doi.org/10.1016/j.jmst.2021.01.341,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.457Cr0.39Cu0.109Fe0.109Ni0.109,840,,,https://www.nature.com/articles/s41597-020-00768-13,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.362Cr0.34Cu0.106Fe0.213Ni0.106,841,,,https://www.nature.com/articles/s41597-020-00768-16,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.255Cr0.426Cu0.106Fe0.234Ni0.106,843,,,https://www.nature.com/articles/s41597-020-00768-27,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrMoNbTi0.5,844.9,,CAST,https://doi.org/10.1016/j.jmst.2021.01.342,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.512Cr0.58Fe0.116Ni0.116,848,,,https://www.nature.com/articles/s41597-020-00768-9,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.383Cr0.319Cu0.106Fe0.213Ni0.106,849,,,https://www.nature.com/articles/s41597-020-00768-19,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrMoNbTi,849.6,,CAST,https://doi.org/10.1016/j.jmst.2021.01.343,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCr2FeMo0.5Ni,850,,CAST,https://doi.org/10.1016/j.jmst.2021.01.344,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCrFeMoNiTiVZr,850,,CAST,https://www.nature.com/articles/s41597-020-00768-318,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeMo0.8Ni,854,B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-292,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.8,854,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.298Cr0.404Cu0.106Fe0.213Ni0.106,855,,,https://www.nature.com/articles/s41597-020-00768-36,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.442Cr0.442Fe0.256Ni0.186,855,,,https://www.nature.com/articles/s41597-020-00768-40,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.442Cr0.558Fe0.186Ni0.14,855,,,https://www.nature.com/articles/s41597-020-00768-32,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.419Cr0.558Fe0.233Ni0.116,856,,,https://www.nature.com/articles/s41597-020-00768-31,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCr0.487Nb0.23Ta0.026Ti0.82,856,,CAST,https://www.nature.com/articles/s41597-020-00768-162,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667Co0.833Cr0.833Fe0.833Ni0.833Ti,856.9,BCC+B2+Laves,CAST,https://www.nature.com/articles/s41597-020-00768-180,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.465Cr0.512Fe0.186Ni0.163,857,,,https://www.nature.com/articles/s41597-020-00768-37,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeMo0.5,857,B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-327,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.298Cr0.426Cu0.106Fe0.19Ni0.106,859,,,https://www.nature.com/articles/s41597-020-00768-30,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrCu0.5FeNiSi,860,,CAST,https://doi.org/10.1016/j.jmst.2021.01.345,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.535Cr0.488Fe0.186Ni0.116,863,,,https://www.nature.com/articles/s41597-020-00768-28,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.419Cr0.465Fe0.279Ni0.163,864,,,https://www.nature.com/articles/s41597-020-00768-17,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.58Cr0.512Fe0.116Ni0.116,865,,,https://www.nature.com/articles/s41597-020-00768-14,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrFeNiNb0.1Ti0.4,867,,CAST,Beniwal: Test,
AlCo0.558Cr0.535Fe0.116Ni0.116,868,,,https://www.nature.com/articles/s41597-020-00768-15,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.558Cr0.512Fe0.116Ni0.14,875,,,https://www.nature.com/articles/s41597-020-00768-29,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.404Cr0.404Cu0.106Fe0.106Ni0.106,878,,,https://www.nature.com/articles/s41597-020-00768-8,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.512Cr0.512Fe0.186Ni0.116,882,,,https://www.nature.com/articles/s41597-020-00768-12,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.426Cr0.383Cu0.106Fe0.106Ni0.106,883,BCC+B2,,https://www.nature.com/articles/s41597-020-00768-18,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.512Cr0.535Fe0.163Ni0.116,883,BCC+B2,,https://www.nature.com/articles/s41597-020-00768-11,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrCuFeMoNiTiVZr,890,,CAST,https://doi.org/10.1016/j.jmst.2021.01.346,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al13.7Co18.3Fe19.5Ni17.9Mo14.4Ti16.2,894,,POWDER,Beniwal: Test,
AlCrFeMoNi,905,B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-294,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo,905,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCrMoNbTi0.2,916.2,,CAST,https://doi.org/10.1016/j.jmst.2021.01.347,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCrMoNb,959.6,,CAST,https://doi.org/10.1016/j.jmst.2021.01.348,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCr0.917NiTa0.5Ti0.75,1011,,CAST,https://www.nature.com/articles/s41597-020-00768-166,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCr0.09Nb0.727W0.212,1084,,CAST,https://www.nature.com/articles/s41597-020-00768-167,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
FeNiCrCuCo,286,FCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuMo,263,FCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuAl,342,FCC + BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuMn,296,FCC + BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl,395,BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl1.5,402,BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl2,432,BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl2.5,487,BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCoAl3,506,BCC,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
FeNiCrCuZr,566,BCC +Im,CAT-A,https://doi.org/10.1016/j.jallcom.2008.07.124,Effect of alloying elements on microstructure and properties of multiprincipal elements high-entropy alloys
CoCrFeNiMn,170,,CAT-A,https://doi.org/10.1016/j.jallcom.2013.12.210,Effect of Mn and V on structure and mechanical properties of high-entropy alloys based on CoCrFeNi system
CoCrFeNiV,524,,CAT-A,https://doi.org/10.1016/j.jallcom.2013.12.210,Effect of Mn and V on structure and mechanical properties of high-entropy alloys based on CoCrFeNi system
CoCrFeNiMnV,650,,CAT-A,https://doi.org/10.1016/j.jallcom.2013.12.210,Effect of Mn and V on structure and mechanical properties of high-entropy alloys based on CoCrFeNi system
CuTiVFeNiZr,590,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
AlTiVFeNiZr,800,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
MoTiVFeNiZr,740,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
CuTiVFeNiZrCo,630,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
AlTiVFeNiZrCo,790,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
MoTiVFeNiZrCo,790,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
CuTiVFeNiZrCoCr,680,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
AlTiVFeNiZrCoCr,780,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
MoTiVFeNiZrCoCr,850,,CAST,https://doi.org/10.1002/adem.200300567,Nanostructured High-Entropy Alloys with Multiple Principal Elements: Novel Alloy Design Concepts and Outcomes
Hf0.5Nb0.5Ta0.5TiZr,376,,CAST,237688.pdf (chalmers.se),
Al0.5NbTiV2Zr0.5,622.9,BCC +Im,CAT-A,https://doi.org/10.1016/j.jallcom.2022.166767,Microstructure and mechanical properties of AlNbTiVZr system refractory high entropy alloys
Al0.5NbTiV2Zr1.5,613.7,BCC +Im,CAT-A,https://doi.org/10.1016/j.jallcom.2022.166767,Microstructure and mechanical properties of AlNbTiVZr system refractory high entropy alloys
Al0.5Nb0.5TiV2Zr,587.1,BCC +Im,CAT-A,https://doi.org/10.1016/j.jallcom.2022.166767,Microstructure and mechanical properties of AlNbTiVZr system refractory high entropy alloys
Al0.5Nb0.5TiV2Zr1.5,583,BCC +Im,CAT-A,https://doi.org/10.1016/j.jallcom.2022.166767,Microstructure and mechanical properties of AlNbTiVZr system refractory high entropy alloys
