Alloys,Hardness (HV),Phase,Fabrication_type,DOI,Paper
Al2.0CoCrCuFe,567,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.0CrCuFeNi2,567,,CAST,https://doi.org/10.1016/j.jmst.2021.01.314,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.5Cr0.5Cu0.5Fe0.5,567,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-55,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
MoNbSi0.25TaW,567,BCC+Sec.,POWDER,https://www.nature.com/articles/s41597-020-00768-78,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFeNb0.1Ni,569,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCrFeNb0.Ni,569,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-338,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiHf0.4,569,,CAST,Beniwal: Test,
Al0.55CoCrFeMnNiTa0.6,570,FCC+BCC+Sec.,,https://www.nature.com/articles/s41597-020-00768-1,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeNiSi0.75,570,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-350,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.357Co0.714Cr0.714Cu0.714Fe0.714Ni0.714V,577,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-271,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV1.4,577,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.2CrCuFeNi2,578,,CAST,https://doi.org/10.1016/j.jmst.2021.01.315,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCoCuFeNbNi,578,Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCuFeNdNi,578,Other,CAST,https://www.nature.com/articles/s41597-020-00768-267,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.417Co0.833Cr0.833Cu0.833Fe0.833Ni0.833V,579,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-272,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV1.2,579,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al23Co15Cr23Cu8Fe15Ni16,580,,CAST,https://doi.org/10.1016/j.jmst.2021.01.316,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrFeNiAl0.4Ti0.2,580,,CAST,Beniwal: Test,
Hf0.5Mo0.5NbSi0.7TiZr,580,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-216,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Mo0.5VNbTiCr1.5,580,,CAST,Beniwal: Test,
AlCo0.5Cr0.5Fe0.5Ni0.5,581.7,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-185,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfMo0.5NbSi0.5TiV0.5,582,,CAST,https://doi.org/10.1016/j.jmst.2021.01.317,Machine learning of phases and mechanical properties in complexconcentrated alloys
C0.5MoNbRe0.5Ta0.5W,583,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-187,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCr0.5Fe0.5Mo0.25Ni0.5,586,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-332,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667Co0.667Cr0.667Fe0.667Mo0.333Ni,586,FCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-325,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo2CrFeMo0.5Ni,586,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoCrFeMo0.5Ni1.5,586,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.25Co0.5Cr0.5Cu0.5Fe0.5Ni0.5V,587,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-268,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV2.0,587,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.5CoCrCuFeNiTi0.8,590,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-283,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CuFeNiTiVZr,590,,CAST,https://www.nature.com/articles/s41597-020-00768-315,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667Li0.667Mg0.333Sc0.667Ti,591,FCC+HCP,,https://www.nature.com/articles/s41597-020-00768-47,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlLiMg0.5ScTi1.5,591,FCC + HCP,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlMo0.5NbTa0.5TiZr,591,BCC+B2,OTHER,https://www.nature.com/articles/s41597-020-00768-99,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.312Co0.625Cr0.625Cu0.625Fe0.625Ni0.625V,594,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-270,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV1.6,594,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.5CrCuFeNi2,596,,CAST,https://doi.org/10.1016/j.jmst.2021.01.318,Machine learning of phases and mechanical properties in complexconcentrated alloys
Fe40Mn14Ni10Cr10Al15Si10C1,596,,POWDER,Beniwal: Test,
Al0.278Co0.556Cr0.556Cu0.556Fe0.556Ni0.556V,597,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-269,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV1.8,597,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.3CoCrCuFeNi,600,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoFeMo0.5Ni,600,,CAST,https://doi.org/10.1016/j.jmst.2021.01.320,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoCrFeNb0.75Ni,600,,CAST,https://doi.org/10.1016/j.jmst.2021.01.321,Machine learning of phases and mechanical properties in complexconcentrated alloys
CrFeNiTi0.4,600.3,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-142,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Cr1.6Mo8.9Nb20Re15Ta30W20,601,,CAST,https://doi.org/10.3390/cryst11010046,Deep Learning-Based Hardness Prediction of Novel Refractory High-Entropy Alloys with Experimental Validation
AlCoCr0.5FeMo0.5Ni,602,,CAST,https://doi.org/10.1016/j.jmst.2021.01.322,Machine learning of phases and mechanical properties in complexconcentrated alloys
Co0.833Fe0.833Mo0.833NiV0.833,602,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-232,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNbNi,602,,CAST,https://doi.org/10.1016/j.jmst.2021.01.323,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoFeMoNi1.2V,602,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.3CoCrCuFe,603,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.435Cr0.435Cu0.435Fe0.435,603,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-54,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.289Cr0.158Cu0.237Fe0.816Ni0.132,604,,,https://www.nature.com/articles/s41597-020-00768-44,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al2.0CoCrFeMo0.5Ni,605,,CAST,https://doi.org/10.1016/j.jmst.2021.01.325,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al2CoCrFeMo0.5Ni,605,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al30Co6Cr35Fe6Mn18Ni5,605,,CAST,Beniwal: Test,
AlCo0.5Cr0.5Fe0.5Mo0.25Ni0.5,605,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-347,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.556Cr0.556Fe0.556Ni0.556Ti0.11,605.5,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-184,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrMoTi,606,,CAST,https://doi.org/10.1016/j.jmst.2021.01.326,Machine learning of phases and mechanical properties in complexconcentrated alloys
CoFeMo0.8NiV,606,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-233,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
HfMo0.5NbSi0.7TiV0.5,612,,CAST,https://doi.org/10.1016/j.jmst.2021.01.327,Machine learning of phases and mechanical properties in complexconcentrated alloys
C0.6MoNbRe0.5Ta0.6W,615,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-186,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrCuNiZn,615,FCC+FCC,POWDER,https://www.nature.com/articles/s41597-020-00768-69,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeNiTi0.5,616.8,,CAST,https://doi.org/10.1016/j.jmst.2021.01.328,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al2.5CoCrCuFeNi,620,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.7CoCrFeMnNi,622,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-204,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.9CoCrFeNiTi0.5,623,BCC+B2+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-199,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeMo0.5Ni,623.7,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-116,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrFeNiMo0.5,623.7,BCC + Im,,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al0.7Co0.3CrFeNi,624,FCC + BCC + B2,CAST,Beniwal: Train,
Al2.5CoCrCuFe,624,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.4Cr0.4Cu0.4Fe0.4,624,FCC+BCC,,https://www.nature.com/articles/s41597-020-00768-53,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoFeMoNiV,625,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-227,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCuFeNiTi,626,FCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-265,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al25.5Co9Cr35Fe10Mn15.5Ni5,628,,CAST,Beniwal: Test,
CrFeNiNb0.1Ti0.3,629,,CAST,Beniwal: Test,
CoCuFeNiTiVZr,630,,CAST,https://www.nature.com/articles/s41597-020-00768-317,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CrNbTiW,630,BCC,CAST,https://www.nature.com/articles/s41597-020-00768-106,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCrCuFeMn,633,Other,POWDER,https://www.nature.com/articles/s41597-020-00768-74,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.667Co0.667Cr0.667FeMo0.333Ni0.667,635,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-329,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCoCrFe1.5Mo0.5Ni,635,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCoFeNiTi,635,,CAST,Beniwal: Test,
Al0.5CoCrCuFeNiTi,636,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-287,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi1.0,636,,CAST,https://doi.org/10.1016/j.jmst.2021.01.331,Machine learning of phases and mechanical properties in complexconcentrated alloys
Al0.5Co0.5Cr0.5FeMo0.25Ni0.5,639,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-328,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV,639,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-273,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiV1.0,639,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al17.6Co22.6Fe24.2Ni22.1Mo13.5,639,,POWDER,Beniwal: Test,
AlCoCrFe2Mo0.5Ni,639,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.833Cr0.833Fe0.833Ni0.833Ti0.667,639.6,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-182,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrFeNiTi0.5,640,FCC+FCC,,https://www.nature.com/articles/s41597-020-00768-2,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al3CoCrCuFeNi,640,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Hf0.5Mo0.5NbSi0.9TiZr,640,BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-215,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
AlCo0.667Cr0.667Fe0.667Ni0.667Ti0.333,641.7,BCC+B2,CAST,https://www.nature.com/articles/s41597-020-00768-183,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al2CoCrFeNiTi,643,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
AlCo0.5Cr0.5Fe0.5Ni0.5Ti0.5,643,BCC+BCC,CAST,https://www.nature.com/articles/s41597-020-00768-345,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al3.0CoCrCuFe,644,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al3.0CoCrCuFeNi,644,,CAST,https://doi.org/10.1016/j.jmst.2021.01.332,Machine learning of phases and mechanical properties in complexconcentrated alloys
AlCo0.333Cr0.333Cu0.333Fe0.333,644,BCC,,https://www.nature.com/articles/s41597-020-00768-51,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.417Co0.833Cr0.833Cu0.833Fe0.833Ni0.833Ti,646,FCC+BCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-282,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al0.5CoCrCuFeNiTi1.2,646,FCC + BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al1.8CoCrCuFeNi,650,FCC + BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al2.8CoCrCuFeNi,650,BCC,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Al24Co18Cr35Fe10Mn7.5Ni5.5,650,,CAST,Beniwal: Test,
CoCrFeMnNiV,650,FCC+Sec.,CAST,https://www.nature.com/articles/s41597-020-00768-298,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
CoCrFeMnNiV1.0,650,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
Co1.5CrFeNi1.5Ti,654,FCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
CoCr0.667Fe0.667NiTi0.667,654,FCC+Sec.,ANNEAL,https://www.nature.com/articles/s41597-020-00768-384,Expanded dataset of mechanical properties and observed phases of multi-principal element alloys
Al1.5CoCrFeMo0.5Ni,655,BCC + Im,CAST,https://doi.org/10.1016/j.dib.2018.11.111,Database on the mechanical properties of high entropy alloys and complex concentrated alloys
