Alloys,,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys,Alloys
Al0.1Ti0.2(CrFeNi)0.7,14,(ZrHfNb)0.5Ti0.5Ta0,(ZrHfNb)0.5W0.5Ta0,(ZrHfNb)0.5Mo0.5Ta0,(ZrHfNb)0.5Cr0.5W0,(VNbTa)0.5Cr0.5W0,(VNbTa)0.5Zr0.5W0,(VNbTa)0.5Hf0.5W0,(VNbTa)0.5Mo0.5Ti0
Al0.1Ti0.3(CrFeNi)0.6,15,(ZrHfNb)0.4Ti0.6Ta0,(ZrHfNb)0.4W0.6Ta0,(ZrHfNb)0.4Mo0.6Ta0,(ZrHfNb)0.4Cr0.6W0,(VNbTa)0.4Cr0.6W0,(VNbTa)0.4Zr0.6W0,(VNbTa)0.4Hf0.6W0,(VNbTa)0.4Mo0.6Ti0
Al0.1Ti0.4(CrFeNi)0.5,16,(ZrHfNb)0.3Ti0.7Ta0,(ZrHfNb)0.3W0.7Ta0,(ZrHfNb)0.3Mo0.7Ta0,(ZrHfNb)0.3Cr0.7W0,(VNbTa)0.3Cr0.7W0,(VNbTa)0.3Zr0.7W0,(VNbTa)0.3Hf0.7W0,(VNbTa)0.3Mo0.7Ti0
Al0.1Ti0.5(CrFeNi)0.4,17,(ZrHfNb)0.2Ti0.8Ta0,(ZrHfNb)0.2W0.8Ta0,(ZrHfNb)0.2Mo0.8Ta0,(ZrHfNb)0.2Cr0.8W0,(VNbTa)0.2Cr0.8W0,(VNbTa)0.2Zr0.8W0,(VNbTa)0.2Hf0.8W0,(VNbTa)0.2Mo0.8Ti0
Al0.2Ti0.1(CrFeNi)0.7,18,(ZrHfNb)0.1Ti0.9Ta0,(ZrHfNb)0.1W0.9Ta0,(ZrHfNb)0.1Mo0.9Ta0,(ZrHfNb)0.1Cr0.9W0,(VNbTa)0.1Cr0.9W0,(VNbTa)0.1Zr0.9W0,(VNbTa)0.1Hf0.9W0,(VNbTa)0.1Mo0.9Ti0
Al0.3Ti0.1(CrFeNi)0.6,19,(ZrHfNb)0.8Ti0.1Ta0.1,(ZrHfNb)0.8W0.1Ta0.1,(ZrHfNb)0.8Mo0.1Ta0.1,(ZrHfNb)0.8Cr0.1W0.1,(VNbTa)0.8Cr0.1W0.1,(VNbTa)0.8Zr0.1W0.1,(VNbTa)0.8Hf0.1W0.1,(VNbTa)0.8Mo0.1Ti0.1
Al0.4Ti0.1(CrFeNi)0.5,20,(ZrHfNb)0.7Ti0.1Ta0.2,(ZrHfNb)0.7W0.1Ta0.2,(ZrHfNb)0.7Mo0.1Ta0.2,(ZrHfNb)0.7Cr0.1W0.2,(VNbTa)0.7Cr0.1W0.2,(VNbTa)0.7Zr0.1W0.2,(VNbTa)0.7Hf0.1W0.2,(VNbTa)0.7Mo0.1Ti0.2
Al0.5Ti0.1(CrFeNi)0.4,21,(ZrHfNb)0.6Ti0.1Ta0.3,(ZrHfNb)0.6W0.1Ta0.3,(ZrHfNb)0.6Mo0.1Ta0.3,(ZrHfNb)0.6Cr0.1W0.3,(VNbTa)0.6Cr0.1W0.3,(VNbTa)0.6Zr0.1W0.3,(VNbTa)0.6Hf0.1W0.3,(VNbTa)0.6Mo0.1Ti0.3
,22,(ZrHfNb)0.5Ti0.1Ta0.4,(ZrHfNb)0.5W0.1Ta0.4,(ZrHfNb)0.5Mo0.1Ta0.4,(ZrHfNb)0.5Cr0.1W0.4,(VNbTa)0.5Cr0.1W0.4,(VNbTa)0.5Zr0.1W0.4,(VNbTa)0.5Hf0.1W0.4,(VNbTa)0.5Mo0.1Ti0.4
,23,(ZrHfNb)0.4Ti0.1Ta0.5,(ZrHfNb)0.4W0.1Ta0.5,(ZrHfNb)0.4Mo0.1Ta0.5,(ZrHfNb)0.4Cr0.1W0.5,(VNbTa)0.4Cr0.1W0.5,(VNbTa)0.4Zr0.1W0.5,(VNbTa)0.4Hf0.1W0.5,(VNbTa)0.4Mo0.1Ti0.5
